STATENAME,MTFCC,OID,GEOID,STATE,PLACE,PLACENS,BASENAME,NAME,LSADC,FUNCSTAT,PLACECC,AREALAND,AREAWATER,UR,CBSAPCI,NECTAPCI,CENTLAT,CENTLON,INTPTLAT,INTPTLON
Alabama,G4210,2803074305890,0116936,01,16936,02402792,Concord,Concord CDP,57,S,U1,8716244,44246,,N,N,+33.4673944,-087.0391374,+33.4619875,-087.0404293
Alabama,G4210,280304690786240,0117704,01,17704,02727439,Cottondale,Cottondale CDP,57,S,U1,8918884,46443,,N,N,+33.1922686,-087.4541941,+33.1930468,-087.4548608
Alabama,G4210,280303942392868,0119024,01,19024,02628586,Cullomburg,Cullomburg CDP,57,S,U1,13842493,,,N,N,+31.7130610,-088.2917744,+31.7130610,-088.2917744
Alabama,G4210,280303942393802,0120152,01,20152,02628587,Deer Park,Deer Park CDP,57,S,U1,8094329,161688,,N,N,+31.2198289,-088.3225847,+31.2183694,-088.3280229
Alabama,G4210,280303717391718,0120272,01,20272,02582670,Delta,Delta CDP,57,S,U1,20167124,272009,,N,N,+33.4470229,-085.6746173,+33.4405242,-085.6759051
Alabama,G4210,280303717392008,0121890,01,21890,02582671,Dunnavant,Dunnavant CDP,57,S,U2,49872647,2639682,,N,N,+33.4977986,-086.5420446,+33.4950107,-086.5404806
Alabama,G4210,2803015672785460,0122088,01,22088,02805893,Eagle Point,Eagle Point CDP,57,S,U1,5723661,113021,,N,N,+33.3937617,-086.6778908,+33.4009117,-086.6767527
Alabama,G4210,280303942446574,0122504,01,22504,02628588,East Point,East Point CDP,57,S,U1,2524140,19489,,N,N,+34.1857355,-086.7928841,+34.1908799,-086.7918995
Alabama,G4210,2803074305892,0123032,01,23032,02402443,Edgewater,Edgewater CDP,57,S,U1,3155773,61545,,N,N,+33.5286034,-086.9573921,+33.5300993,-086.9527897
Alabama,G4210,280303717391725,0123224,01,23224,02582672,Egypt,Egypt CDP,57,S,U1,23335446,,,N,N,+34.0759381,-086.1650536,+34.0759381,-086.1650536
Alabama,G4210,280303717391979,0123880,01,23880,02582673,Emerald Mountain,Emerald Mountain CDP,57,S,U1,41673708,1707370,,N,N,+32.4396186,-086.0857167,+32.4476940,-086.0943808
Alabama,G4210,2803015682282383,0124280,01,24280,02805889,Equality,Equality CDP,57,S,U1,13604539,24043,,N,N,+32.7634402,-086.1059259,+32.7656589,-086.1231847
Alabama,G4210,280303942394338,0124616,01,24616,02633143,Eunola,Eunola CDP,57,S,U1,4728506,37294,,N,N,+31.0325464,-085.8408465,+31.0313906,-085.8339663
Alabama,G4210,280303942393908,0125216,01,25216,02628589,Fairford,Fairford CDP,57,S,U1,7953598,,,N,N,+31.1780024,-088.0727840,+31.1780024,-088.0727840
Alabama,G4210,280303717391741,0125864,01,25864,02582674,Fayetteville,Fayetteville CDP,57,S,U1,45178324,6034535,,N,N,+33.1642677,-086.4411356,+33.1680970,-086.4427744
Alabama,G4210,280303942394143,0126152,01,26152,02628590,Fitzpatrick,Fitzpatrick CDP,57,S,U1,10780813,91583,,N,N,+32.2112894,-085.8784070,+32.2103774,-085.8736932
Alabama,G4210,2803074305894,0127088,01,27088,02402493,Forestdale,Forestdale CDP,57,S,U1,17564137,,,N,N,+33.5737045,-086.8999884,+33.5737045,-086.8999884
Alabama,G4210,28030355347454,0127640,01,27640,02402503,Fort Rucker,Fort Rucker CDP,57,S,M2,28137398,46399,,N,N,+31.3428514,-085.7154133,+31.3425758,-085.7160719
Alabama,G4210,280303717391745,0128120,01,28120,02582675,Fredonia,Fredonia CDP,57,S,U1,31025632,67880,,N,N,+32.9860982,-085.2911987,+32.9835770,-085.2923055
Alabama,G4210,280303942393308,0128408,01,28408,02628591,Fruitdale,Fruitdale CDP,57,S,U1,11586507,43413,,N,N,+31.3428605,-088.4108405,+31.3497904,-088.4109367
Alabama,G4210,280303717391760,0128816,01,28816,02582676,Gallant,Gallant CDP,57,S,U1,37246640,130033,,N,N,+34.0013232,-086.2303749,+34.0013181,-086.2301709
Alabama,G4210,280303717391913,0131000,01,31000,02582677,Graham,Graham CDP,57,S,U1,15162088,,,N,N,+33.4551913,-085.3230847,+33.4551913,-085.3230847
Alabama,G4210,28030543360149,0131024,01,31024,02402543,Grand Bay,Grand Bay CDP,57,S,U1,22468285,62593,,N,N,+30.4716740,-088.3450084,+30.4720820,-088.3444009
Alabama,G4210,2803074305897,0131348,01,31348,02402547,Grayson Valley,Grayson Valley CDP,57,S,U1,4929952,,,N,N,+33.6466146,-086.6416320,+33.6466146,-086.6416320
Alabama,G4210,280303942393978,0132248,01,32248,02628592,Gulfcrest,Gulfcrest CDP,57,S,U1,3921828,8275,,N,N,+30.9924972,-088.2399025,+30.9911062,-088.2422312
Alabama,G4210,280303717391842,0132584,01,32584,02582678,Hackneyville,Hackneyville CDP,57,S,U1,23213867,39942,,N,N,+33.0566444,-085.9312002,+33.0546536,-085.9344235
Alabama,G4210,2803015682282385,0133064,01,33064,02805890,Hanover,Hanover CDP,57,S,U1,10908418,55189,,N,N,+33.0028672,-086.1990049,+33.0029224,-086.2009310
Alabama,G4210,2803065843280,0133472,01,33472,02402570,Harvest,Harvest CDP,57,S,U1,31941947,164174,,N,N,+34.8557657,-086.7520561,+34.8550699,-086.7586430
Alabama,G4210,280303942392495,0133544,01,33544,02628593,Hatton,Hatton CDP,57,S,U1,3453276,20291,,N,N,+34.5610667,-087.4135564,+34.5606707,-087.4138348
Alabama,G4210,2803065843281,0133808,01,33808,02402573,Hazel Green,Hazel Green CDP,57,S,U1,25984663,35423,,N,N,+34.9236743,-086.5670554,+34.9236557,-086.5673916
Alabama,G4210,280303717391928,0134490,01,34490,02582679,Highland Lakes,Highland Lakes CDP,57,S,U1,9866608,362155,,N,N,+33.3972721,-086.6494443,+33.3976107,-086.6479203
Alabama,G4210,280303717392055,0134984,01,34984,02582680,Hissop,Hissop CDP,57,S,U1,28296789,10776,,N,N,+32.8814189,-086.1285214,+32.8905684,-086.1296013
Alabama,G4210,280303942393399,0135130,01,35130,02628594,Hobson,Hobson CDP,57,S,U1,7625398,78982,,N,N,+31.4836212,-088.1512859,+31.4887252,-088.1509283
Alabama,G4210,280303717391848,0135512,01,35512,02582681,Hollins,Hollins CDP,57,S,U1,30678891,80205,,N,N,+33.1213286,-086.1290357,+33.1217571,-086.1269672
Alabama,G4210,280303717391922,0135536,01,35536,02582682,Hollis Crossroads,Hollis Crossroads CDP,57,S,U1,32259724,4589,,N,N,+33.5231343,-085.6437483,+33.5313328,-085.6528615
Alabama,G4210,2803075608429,0135704,01,35704,02402595,Holt,Holt CDP,57,S,U1,8194157,36474,,N,N,+33.2302053,-087.4827717,+33.2297452,-087.4828945
Alabama,G4210,280303717396234,0135752,01,35752,02582683,Holtville,Holtville CDP,57,S,U1,55907353,9309516,,N,N,+32.6314102,-086.3268301,+32.6302990,-086.3280044
Alabama,G4210,28030351393659,0136592,01,36592,02402603,Huguley,Huguley CDP,57,S,U1,21420964,,,N,N,+32.8430621,-085.2396355,+32.8430621,-085.2396355
Alabama,G4210,280303717391858,0138032,01,38032,02582684,Ivalee,Ivalee CDP,57,S,U1,19301501,,,N,N,+34.0372037,-086.1471817,+34.0372037,-086.1471817
Alabama,G4210,280303942392387,0139064,01,39064,02628595,Joppa,Joppa CDP,57,S,U1,5036132,70361,,N,N,+34.2981488,-086.5506329,+34.2995501,-086.5499459
Alabama,G4210,28030287405549,0140648,01,40648,02403183,Ladonia,Ladonia CDP,57,S,U1,8115027,10357,,N,N,+32.4608660,-085.0877413,+32.4597086,-085.0904229
Alabama,G4210,280303942392944,0142304,01,42304,02628596,Leroy,Leroy CDP,57,S,U1,30846566,174336,,N,N,+31.4951760,-087.9690125,+31.4949706,-087.9727728
Alabama,G4210,280305320663140,0142928,01,42928,02633315,Lillian,Lillian CDP,57,S,U1,4944913,4196328,,N,N,+30.4122312,-087.4319799,+30.4189038,-087.4207510
Alabama,G4210,280303717391947,0144160,01,44160,02582685,Lookout Mountain,Lookout Mountain CDP,57,S,U2,39447751,37158,,N,N,+34.1090940,-085.9585580,+34.1159156,-085.9654638
Alabama,G4210,280303942394379,0145316,01,45316,02633142,Macedonia,Macedonia CDP,57,S,U1,10226512,,,N,N,+33.4031390,-088.2392210,+33.4031390,-088.2392210
Alabama,G4210,280303942393386,0146192,01,46192,02628597,Malcolm,Malcolm CDP,57,S,U1,6110284,65858,,N,N,+31.1946095,-088.0015787,+31.1986970,-088.0010648
Alabama,G4210,280303717391846,0146600,01,46600,02582686,Marbury,Marbury CDP,57,S,U1,59967263,199873,,N,N,+32.6792899,-086.4607467,+32.6729840,-086.4637279
Alabama,G4210,2803015650795862,0145040,01,45040,02805892,McCalla,McCalla CDP,57,S,U1,87527109,1135093,,N,N,+33.3023323,-087.0301541,+33.3031116,-087.0266602
Alabama,G4210,2803074305907,0145208,01,45208,02403268,McDonald Chapel,McDonald Chapel CDP,57,S,U1,2759449,10833,,N,N,+33.5188918,-086.9385248,+33.5185759,-086.9384621
Alabama,G4210,28030404153255,0147740,01,47740,02403273,Meadowbrook,Meadowbrook CDP,57,S,U1,11289089,33714,,N,N,+33.3934934,-086.7040684,+33.3952345,-086.7043734
Alabama,G4210,280303942393470,0147848,01,47848,02628598,Megargel,Megargel CDP,57,S,U1,1781777,,,N,N,+31.3781413,-087.4306492,+31.3781413,-087.4306492
Alabama,G4210,2803065843284,0148112,01,48112,02403279,Meridianville,Meridianville CDP,57,S,U1,40290925,127023,,N,N,+34.8728862,-086.5722081,+34.8749129,-086.5805593
Alabama,G4210,28030297291822,0148616,01,48616,02403291,Mignon,Mignon CDP,57,S,U1,5185128,88368,,N,N,+33.1949413,-086.2649983,+33.1865796,-086.2568859
Alabama,G4210,280303717391860,0148784,01,48784,02582687,Millerville,Millerville CDP,57,S,U1,17349170,57261,,N,N,+33.1925928,-085.9302493,+33.1914581,-085.9298280
Alabama,G4210,2803074305910,0149072,01,49072,02403295,Minor,Minor CDP,57,S,U1,1719275,,,N,N,+33.5390107,-086.9400731,+33.5390107,-086.9400731
Alabama,G4210,2803065843285,0151216,01,51216,02403306,Moores Mill,Moores Mill CDP,57,S,U1,35235966,428313,,N,N,+34.8490849,-086.5221985,+34.8521431,-086.5203798
Alabama,G4210,280303717391839,0151469,01,51469,02582688,Morrison Crossroads,Morrison Crossroads CDP,57,S,U2,13444306,191484,,N,N,+33.4197947,-085.4902733,+33.4179963,-085.4882845
Alabama,G4210,280303717391919,0152320,01,52320,02582689,Mount Olive,Mount Olive CDP,57,S,U1,21545236,8863,,N,N,+33.0764297,-086.1333891,+33.0784543,-086.1330402
Alabama,G4210,2803074305913,0152344,01,52344,02403310,Mount Olive,Mount Olive CDP,57,S,U1,24079946,12514,,N,N,+33.6778658,-086.8727194,+33.6692856,-086.8754901
Alabama,G4210,280303942393593,0152680,01,52680,02628599,Movico,Movico CDP,57,S,U1,2027795,,,N,N,+31.0627634,-088.0266191,+31.0627634,-088.0266191
Alabama,G4210,280303942392742,0153208,01,53208,02628600,Nanafalia,Nanafalia CDP,57,S,U1,5619407,,,N,N,+32.1113928,-087.9957573,+32.1113928,-087.9957573
Alabama,G4210,280303717391985,0153232,01,53232,02582690,Nances Creek,Nances Creek CDP,57,S,U1,15041301,21045,,N,N,+33.8587713,-085.6732991,+33.8555005,-085.6691043
Alabama,G4210,2803065843287,0154312,01,54312,02403332,New Market,New Market CDP,57,S,U1,45403017,78284,,N,N,+34.8892394,-086.4226224,+34.8923348,-086.4258175
Alabama,G4210,280303717392014,0154582,01,54582,02582691,New Union,New Union CDP,57,S,U2,31556962,10955,,N,N,+34.1422323,-086.2218336,+34.1336820,-086.2280023
Alabama,G4210,2803015682282384,0154696,01,54696,02805891,Nixburg,Nixburg CDP,57,S,U1,19328114,26514,,N,N,+32.8639954,-086.0975513,+32.8554881,-086.1008384
Alabama,G4210,280303717391835,0157384,01,57384,02582692,Our Town,Our Town CDP,57,S,U1,30699197,93654,,N,N,+32.8303990,-085.9686719,+32.8422113,-085.9670347
Alabama,G4210,280303942392924,0157912,01,57912,02628601,Panola,Panola CDP,57,S,U1,1858530,3231,,N,N,+32.9477808,-088.2673201,+32.9468194,-088.2622656
Alabama,G4210,2803015672785461,0158680,01,58680,02805895,Pea Ridge,Pea Ridge CDP,57,S,U1,40515539,121077,,N,N,+33.1454167,-086.9372005,+33.1338054,-086.9379490
Alabama,G4210,280303717391822,0159016,01,59016,02582693,Penton,Penton CDP,57,S,U1,23661886,93782,,N,N,+33.0089698,-085.4721442,+33.0098324,-085.4748240
Alabama,G4210,280305321419035,0159064,01,59064,02633316,Perdido,Perdido CDP,57,S,U1,28846203,77325,,N,N,+31.0033173,-087.6322192,+31.0056921,-087.6301119
Alabama,G4210,280303942393456,0159232,01,59232,02628602,Peterman,Peterman CDP,57,S,U1,1094490,,,N,N,+31.5836687,-087.2630424,+31.5836687,-087.2630424
Alabama,G4210,280303717391853,0160264,01,60264,02582694,Pine Level,Pine Level CDP,57,S,U1,65201483,132799,,N,N,+32.5784812,-086.4523132,+32.5795393,-086.4543181
Alabama,G4210,28030114112837,0161488,01,61488,02403433,Point Clear,Point Clear CDP,57,S,U1,12341305,93861,,N,N,+30.4900054,-087.9107562,+30.4864336,-087.9135472
Alabama,G4210,280303942392815,0162952,01,62952,02628603,Putnam,Putnam CDP,57,S,U1,24565135,,,N,N,+32.0180840,-088.0330575,+32.0180840,-088.0330575
Alabama,G4210,280303717391817,0163495,01,63495,02582695,Ray,Ray CDP,57,S,U1,24506247,131245,,N,N,+32.8795184,-086.0387860,+32.8681408,-086.0452518
Alabama,G4210,280303717392034,0163730,01,63730,02582696,Redland,Redland CDP,57,S,U1,62491033,739242,,N,N,+32.4753678,-086.1375280,+32.4814263,-086.1437588
Alabama,G4210,2803065843289,0163912,01,63912,02403466,Redstone Arsenal,Redstone Arsenal CDP,57,S,M2,56492419,111350,,N,N,+34.6644555,-086.6530233,+34.6877633,-086.6611715
Alabama,G4210,280303717391816,0164040,01,64040,02582697,Reeltown,Reeltown CDP,57,S,U1,19550351,72437,,N,N,+32.5787593,-085.8189532,+32.5742107,-085.8195624
Alabama,G4210,2803015504004959,0164248,01,64248,02804648,Remlap,Remlap CDP,57,S,U1,42143579,538721,,N,N,+33.8049044,-086.5969907,+33.8069723,-086.5939407
Alabama,G4210,2803074305918,0165412,01,65412,02403485,Rock Creek,Rock Creek CDP,57,S,U1,7811250,,,N,N,+33.4772270,-087.0812493,+33.4772270,-087.0812493
Alabama,G4210,28030284496744,0165592,01,65592,02403487,Rock Mills,Rock Mills CDP,57,S,U1,16381849,11243,,N,N,+33.1563000,-085.2861524,+33.1599402,-085.2810698
Alabama,G4210,280303942394246,0165784,01,65784,02632283,Rockville,Rockville CDP,57,S,U1,7268656,,,N,N,+31.4057760,-087.8442122,+31.4057760,-087.8442122
Alabama,G4210,28030103022978,0167608,01,67608,02402815,Saks,Saks CDP,57,S,U1,31537084,122129,,N,N,+33.7118352,-085.8535907,+33.7114011,-085.8536983
Alabama,G4210,28030110064396,0169180,01,69180,02402837,Selmont-West Selmont,Selmont-West Selmont CDP,57,S,U2,8491022,100747,,N,N,+32.3784300,-087.0073961,+32.3782489,-087.0068982
Alabama,G4210,280303717391918,0169672,01,69672,02582698,Shelby,Shelby CDP,57,S,U1,48586758,657198,,N,N,+33.1068407,-086.5824953,+33.1068820,-086.5854028
Alabama,G4210,280303717392038,0169978,01,69978,02582699,Shoal Creek,Shoal Creek CDP,57,S,U1,13055768,683582,,N,N,+33.4328083,-086.6071532,+33.4307625,-086.6109248
Alabama,G4210,280303942394289,0170632,01,70632,02632284,Sims Chapel,Sims Chapel CDP,57,S,U1,14771553,79457,,N,N,+31.2364984,-088.1435637,+31.2492546,-088.1429707
Alabama,G4210,28030100192673,0171201,01,71201,02402861,Smoke Rise,Smoke Rise CDP,57,S,U1,15031641,32672,,N,N,+33.8790716,-086.8240324,+33.8799418,-086.8246833
Alabama,G4210,280303717391804,0172408,01,72408,02582700,Spring Garden,Spring Garden CDP,57,S,U1,5867219,,,N,N,+33.9729652,-085.5557564,+33.9729652,-085.5557564
Alabama,G4210,280303942392623,0172672,01,72672,02628604,Spruce Pine,Spruce Pine CDP,57,S,U1,2403095,2825,,N,N,+34.3927321,-087.7294097,+34.3928704,-087.7295968
Alabama,G4210,280303942394033,0167584,01,67584,02628605,St. Stephens,St. Stephens CDP,57,S,U1,25581949,350255,,N,N,+31.5473596,-088.0555560,+31.5711113,-088.0528335
Alabama,G4210,280303717391801,0172720,01,72720,02582701,Standing Rock,Standing Rock CDP,57,S,U1,8256662,102583,,N,N,+33.0862514,-085.2449919,+33.0856897,-085.2398494
Alabama,G4210,280305320671150,0172816,01,72816,02633317,Stapleton,Stapleton CDP,57,S,U1,28265883,24155,,N,N,+30.7394546,-087.7943120,+30.7355582,-087.7977268
Alabama,G4210,280303717391900,0173056,01,73056,02582702,Sterrett,Sterrett CDP,57,S,U1,59368807,1678636,,N,N,+33.4490417,-086.4645292,+33.4421979,-086.4610448
Alabama,G4210,280303717391798,0173152,01,73152,02582703,Stewartville,Stewartville CDP,57,S,U1,62521504,337887,,N,N,+33.0724906,-086.2658058,+33.0755319,-086.2606928
Alabama,G4210,280305320686370,0173272,01,73272,02633318,Stockton,Stockton CDP,57,S,U1,24197952,743568,,N,N,+30.9946249,-087.8600247,+31.0012455,-087.8739291
Alabama,G4210,28030543360155,0175768,01,75768,02402926,Theodore,Theodore CDP,57,S,U1,20701824,5151,,N,N,+30.5408158,-088.1884680,+30.5386857,-088.1875733
Alabama,G4210,280303942394071,0176200,01,76200,02628606,Tibbie,Tibbie CDP,57,S,U1,4529666,44357,,N,N,+31.3627732,-088.2470520,+31.3704902,-088.2438620
Alabama,G4210,280303717392019,0176208,01,76208,02582704,Tidmore Bend,Tidmore Bend CDP,57,S,U2,24901931,311194,,N,N,+34.0323730,-085.9253165,+34.0331841,-085.9263866
Alabama,G4210,28030543360156,0176320,01,76320,02402933,Tillmans Corner,Tillmans Corner CDP,57,S,U1,33616753,99954,,N,N,+30.5818005,-088.2128306,+30.5815333,-088.2127795
Alabama,G4210,28030113221779,0177580,01,77580,02402943,Underwood-Petersville,Underwood-Petersville CDP,57,S,U2,15010879,45029,,N,N,+34.8769701,-087.6974690,+34.8761124,-087.6981572
Alabama,G4210,280303942393485,0178120,01,78120,02628607,Uriah,Uriah CDP,57,S,U1,4159909,,,N,N,+31.3073653,-087.4992133,+31.3073653,-087.4992133
Alabama,G4210,280303717392004,0178312,01,78312,02582705,Vandiver,Vandiver CDP,57,S,U1,52602922,1407235,,N,N,+33.4600779,-086.5247114,+33.4588560,-086.5292216
Alabama,G4210,280303942393873,0179032,01,79032,02628608,Vinegar Bend,Vinegar Bend CDP,57,S,U1,24483319,52184,,N,N,+31.2594216,-088.3712356,+31.2590932,-088.3672636
Alabama,G4210,280303717391789,0180736,01,80736,02582706,Weogufka,Weogufka CDP,57,S,U1,13284070,162830,,N,N,+33.0218191,-086.3096280,+33.0217238,-086.3091462
Alabama,G4210,28030103022981,0181084,01,81084,02403002,West End-Cobb Town,West End-Cobb Town CDP,57,S,U2,10671095,6754,,N,N,+33.6526331,-085.8741629,+33.6514813,-085.8765531
Alabama,G4210,280303942392900,0181744,01,81744,02628609,Whatley,Whatley CDP,57,S,U1,3343784,,,N,N,+31.6463431,-087.7108364,+31.6463431,-087.7108364
Alabama,G4210,280303717391783,0182104,01,82104,02582707,White Plains,White Plains CDP,57,S,U1,33125714,232722,,N,N,+33.7602914,-085.6879567,+33.7593117,-085.6884699
Alabama,G4210,280303717391764,0182176,01,82176,02582708,Whitesboro,Whitesboro CDP,57,S,U1,45267094,55928,,N,N,+34.1681824,-086.0572624,+34.1690042,-086.0584995
Alaska,G4210,2803045104345,0200760,02,00760,02418756,Akiachak,Akiachak CDP,57,S,U1,18161495,,,N,N,+60.9209843,-161.4020874,+60.9209843,-161.4020874
Alaska,G4210,28030758926879,0201305,02,01305,02418761,Alatna,Alatna CDP,57,S,U1,94490490,,,N,N,+66.5637941,-152.8384978,+66.5637941,-152.8384978
Alaska,G4210,2803063913264,0201390,02,01390,02418762,Alcan Border,Alcan Border CDP,57,S,U2,393006328,2238744,,N,N,+62.6725576,-141.1321671,+62.7030781,-141.1935839
Alaska,G4210,2803045754971,0201560,02,01560,02418764,Aleneva,Aleneva CDP,57,S,U1,161118827,,,N,N,+58.0590519,-152.9090150,+58.0590519,-152.9090150
Alaska,G4210,2803045664625,0203110,02,03110,02418770,Anchor Point,Anchor Point CDP,57,S,U1,237364897,296697,,N,N,+59.7703777,-151.7049515,+59.7473639,-151.6956971
Alaska,G4210,28030758926880,0203990,02,03990,02418777,Arctic Village,Arctic Village CDP,57,S,U1,165201436,16030647,,N,N,+68.1420747,-145.4958948,+68.1653743,-145.4013616
Alaska,G4210,2803045104348,0204430,02,04430,02418781,Atmautluak,Atmautluak CDP,57,S,U1,1565431,7175088,,N,N,+60.8622057,-162.2857782,+60.8627546,-162.2803021
Alaska,G4210,2803045076540,0204670,02,04670,02418783,Attu Station,Attu Station CDP,57,S,U2,369171529,2796905,,N,N,+52.8947996,+173.1242454,+52.8802478,+173.2560760
Alaska,G4210,280303716866532,0205000,02,05000,02582709,Badger,Badger CDP,57,S,U1,170012219,2741701,,N,N,+64.8005795,-147.3875367,+64.8000813,-147.3851292
Alaska,G4210,2803045664626,0205585,02,05585,02418785,Bear Creek,Bear Creek CDP,57,S,U1,99284090,3263102,,N,N,+60.2070306,-149.3524365,+60.2080603,-149.3697788
Alaska,G4210,28030758926881,0205750,02,05750,02418787,Beaver,Beaver CDP,57,S,U1,53142252,1362789,,N,N,+66.3829993,-147.3219018,+66.3847451,-147.2877557
Alaska,G4210,2803045664627,0206245,02,06245,02418789,Beluga,Beluga CDP,57,S,U1,256740642,1837355,,N,N,+61.1868152,-151.1638617,+61.1908616,-151.1842373
Alaska,G4210,2803063913265,0206850,02,06850,02418791,Big Delta,Big Delta CDP,57,S,U1,121585889,17856182,,N,N,+64.1485267,-145.7452819,+64.1570474,-145.7408743
Alaska,G4210,2803045842739,0207070,02,07070,02418792,Big Lake,Big Lake CDP,57,S,U1,298975849,31863933,,N,N,+61.5260264,-149.9720275,+61.5155468,-149.9755300
Alaska,G4210,28030758926882,0207620,02,07620,02418795,Birch Creek,Birch Creek CDP,57,S,U1,20900149,545229,,N,N,+66.2685799,-145.8699142,+66.2683268,-145.8765829
Alaska,G4210,2803045842740,0209657,02,09657,02418798,Buffalo Soapstone,Buffalo Soapstone CDP,57,S,U2,57327033,6070,,N,N,+61.7070690,-149.1093833,+61.6844392,-149.1211718
Alaska,G4210,2803045842741,0209710,02,09710,02418799,Butte,Butte CDP,57,S,U1,87523824,2789638,,N,N,+61.5538824,-149.0035894,+61.5340335,-148.9881684
Alaska,G4210,2803045518430,0210150,02,10150,02418801,Cantwell,Cantwell CDP,57,S,U1,308256777,906815,,N,N,+63.3790853,-148.8158597,+63.4113960,-148.7496213
Alaska,G4210,28030758926883,0211690,02,11690,02418803,Central,Central CDP,57,S,U1,642113616,3792717,,N,N,+65.5212645,-144.6407153,+65.5090731,-144.6205076
Alaska,G4210,28030758926884,0211800,02,11800,02418805,Chalkyitsik,Chalkyitsik CDP,57,S,U1,22022281,667826,,N,N,+66.6468355,-143.7820689,+66.6467531,-143.7892981
Alaska,G4210,2803045842742,0212350,02,12350,02418806,Chase,Chase CDP,57,S,U1,437075013,1833149,,N,N,+62.4622952,-149.9370513,+62.4182357,-149.9361716
